Date,PC1_Variance_Ratio,KMO_Value,N_Components_Kaiser,N_Stocks,PC1_Sign_Mean,Top_10_Eigenvalues
2020-01-06,0.31453823519287366,0.6997522456101786,89,477,0.04386819490948638,"[150.33301798  35.37919816  15.32581724   8.9676983    7.26437206
   6.49208151   6.084888     5.46160986   4.77656692   4.52380002]"
2020-01-13,0.31465685293468765,0.729919486659786,89,477,0.04388433254364919,"[150.38971113  35.37286641  15.35141245   8.88594051   7.31167875
   6.52506747   6.06229849   5.48894318   4.75531662   4.49739912]"
2020-01-21,0.31469446828506964,0.7446036967181471,90,477,0.04390684089306262,"[150.40768933  35.25908528  15.38286903   8.89848174   7.35868446
   6.52759473   6.08946022   5.48269295   4.75203465   4.47577017]"
2020-01-28,0.31600466895105755,0.7474844851459735,88,477,0.043906504123517494,"[151.03389752  35.47497044  15.39600926   8.93093555   7.37170451
   6.51691462   6.0208076    5.50060585   4.73378975   4.45250301]"
2020-02-04,0.31682851765539916,0.757339683360344,88,477,0.043922965301364324,"[151.42765462  35.33084563  15.30234178   8.9884454    7.35964879
   6.43226476   5.92660576   5.48432205   4.75962986   4.4452791 ]"
2020-02-11,0.3092537517182582,0.7588847812595362,89,477,0.04380452739828706,"[147.80730804  35.45944291  15.73024983   8.89659728   7.48278038
   6.53213862   6.02452302   5.56703156   4.74743728   4.47026686]"
2020-02-19,0.3007345539272688,0.7494442986931382,91,477,0.0437237422961438,"[143.73557185  35.73365813  16.03441832   9.08891751   7.58569114
   6.58614536   6.07166403   5.62255479   4.80051406   4.50581233]"
2020-02-26,0.30992902834857455,0.7545043970409522,89,477,0.043791508074517524,"[148.13005536  34.99738597  15.8732476    8.85898863   7.5732249
   6.44673204   6.00287669   5.58237456   4.78064234   4.41557458]"
2020-03-04,0.3231371078102384,0.7443802377242562,86,477,0.04419857442259833,"[154.44283462  36.07369098  15.67848129   8.68192586   7.21351104
   6.21523932   5.755197     5.45073019   4.60181475   4.31431991]"
2020-03-11,0.37070455531966345,0.810379333169144,78,477,0.044548280011440414,"[177.17761578  33.15512232  15.38551199   8.96223218   7.39372594
   5.99013091   5.52606395   4.96510685   4.13887005   4.11302517]"
2020-03-18,0.4760565296868316,0.8578101137180274,58,477,0.04509110745464528,"[227.53041389  27.51546755  12.79112496  10.90854129   6.53650448
   5.5586083    5.07053772   4.64850968   4.37089331   3.70176968]"
2020-03-25,0.4857719957051628,0.8739279655203839,52,477,0.04512395061658061,"[232.17390446  27.05131165  16.58589691  11.13953071   6.1054163
   5.9695712    5.76675918   4.92823665   4.80036368   4.44457705]"
2020-04-01,0.48586257471384203,0.8738516378349394,52,477,0.045134020119978725,"[232.21719654  27.32574093  16.58674989  10.82998399   6.21301479
   5.8699126    5.73640145   4.94154799   4.78947652   4.55823697]"
2020-04-08,0.49385387812481096,0.886545237464653,53,477,0.04512328968007377,"[236.03662651  26.24699886  16.2414776   10.54072036   6.38458199
   5.72150061   5.4850653    4.92669909   4.59908638   4.43009359]"
2020-04-16,0.4972473483320625,0.8796909048147865,50,477,0.04513227072314715,"[237.65852986  25.54847802  16.3770962   10.61572605   6.30123442
   5.64158319   5.41781509   4.90658424   4.47344665   4.37269634]"
2020-04-23,0.4991283311719079,0.8706726887729921,51,477,0.0451297526677654,"[238.55754243  25.28290507  16.61539834  10.60981199   6.23883646
   5.56426149   5.34600914   4.8512957    4.47662232   4.27646511]"
2020-04-30,0.4985095834207167,0.8773792589898848,50,477,0.045120175551572085,"[238.26181298  25.96989927  16.59808234  10.639785     6.22802626
   5.53724984   5.26054299   4.85854034   4.48424203   4.27710776]"
2020-05-07,0.49935273950247955,0.8879536802394051,51,477,0.04512319080646518,"[238.66479801  25.82003857  16.74422308  10.72806625   6.22727938
   5.53351433   5.19746443   4.8419781    4.45955014   4.24217138]"
2020-05-14,0.5002719976046975,0.8707671318593208,51,477,0.04512972524537724,"[239.10415587  25.73542452  16.76424106  10.73358528   6.23033033
   5.56127624   5.14476676   4.83254997   4.45199185   4.21815471]"
2020-05-21,0.5019476711701021,0.8642956165809408,50,477,0.045122862210903,"[239.90504121  25.62939203  16.93220562  10.74829201   6.23141946
   5.48311355   5.07792914   4.78494674   4.3976283    4.21663339]"
2020-05-29,0.5004149241120093,0.8730239657206769,50,477,0.04511391751906642,"[239.17246735  26.04637515  17.11805005  11.10768143   6.35517418
   5.48092695   5.02144759   4.75883219   4.41108327   4.16211345]"
2020-06-05,0.498716657595127,0.8687946764407732,50,477,0.045104125539048474,"[238.36078374  26.30517453  17.38383963  11.25370445   6.38132614
   5.4862985    4.99517147   4.78457603   4.35926934   4.12130115]"
2020-06-12,0.5053015934656627,0.875256013067271,49,477,0.045113799538313654,"[241.50804271  25.92193651  17.39185034  11.14151866   6.22032525
   5.40831887   4.89790232   4.6913983    4.25744498   4.05179551]"
2020-06-19,0.5054930085063406,0.8779870873166746,49,477,0.045111710433892456,"[241.5995292   25.88273028  17.42663337  11.07940015   6.19441265
   5.38850167   4.91087667   4.70554344   4.21715487   4.02953796]"
2020-06-26,0.5062039792016009,0.882514114213752,49,477,0.04511208960126457,"[241.93933645  25.72592265  17.33032142  11.07626184   6.1752882
   5.38459513   4.87294158   4.69801767   4.22639782   4.02626237]"
2020-07-06,0.50648754348853,0.8511364823712834,49,477,0.04511881758716175,"[242.07486552  25.71969321  17.28714673  11.15840895   6.20364808
   5.36773104   4.87494165   4.66988071   4.20419957   4.06775438]"
